"","Question","Min","Max","Mean","SD","Count","Story"
"1204","How Imaginative is this story?","0","28","9.67","12.97","3","C78"
"1205","How Captivating is this story?","0","24","8.33","11.09","3","C78"
"1206","How Humorous is this story?","0","17","6","7.79","3","C78"
"1207","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","49","17","22.64","3","C78"
"1208","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","47","16","21.92","3","C78"
"1209","How Creative is this story?","0","2","1","0.82","3","C79"
"1210","How Original is this story?","0","20","7.33","8.99","3","C79"
"1211","How Clever is this story?","0","35","14.33","14.97","3","C79"
"1212","How Imaginative is this story?","0","33","17.33","13.52","3","C79"
"1213","How Captivating is this story?","0","8","3.33","3.4","3","C79"
"1214","How Humorous is this story?","0","9","3.33","4.03","3","C79"
"1215","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","61","27","25.39","3","C79"
"1216","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","61","23.33","26.89","3","C79"
"1217","How Creative is this story?","0","12","6","6","2","C80"
"1218","How Original is this story?","0","24","12","12","2","C80"
"1219","How Clever is this story?","0","26","13","13","2","C80"
"1220","How Imaginative is this story?","0","14","7","7","2","C80"
"1221","How Captivating is this story?","0","11","5.5","5.5","2","C80"
"1222","How Humorous is this story?","0","11","5.5","5.5","2","C80"
"1223","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","22","11","11","2","C80"
"1224","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","23","11.5","11.5","2","C80"
"1225","How Creative is this story?","15","19","17","2","2","C81"
"1226","How Original is this story?","15","27","21","6","2","C81"
"1227","How Clever is this story?","12","16","14","2","2","C81"
"1228","How Imaginative is this story?","14","32","23","9","2","C81"
"1229","How Captivating is this story?","19","21","20","1","2","C81"
"1230","How Humorous is this story?","0","10","5","5","2","C81"
"1231","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","8","17","12.5","4.5","2","C81"
"1232","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","10","11","10.5","0.5","2","C81"
"1233","How Creative is this story?","22","62","41.33","16.36","3","C82"
"1234","How Original is this story?","23","48","37","10.42","3","C82"
"1235","How Clever is this story?","23","59","40.67","14.7","3","C82"
"1236","How Imaginative is this story?","23","59","40.67","14.7","3","C82"
"1237","How Captivating is this story?","22","59","40.33","15.11","3","C82"
"1238","How Humorous is this story?","7","18","14","4.97","3","C82"
"1239","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","18","35","28","7.26","3","C82"
"1240","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","20","35","29.67","6.85","3","C82"
"1241","How Creative is this story?","1","15","9","5.89","3","C84"
"1242","How Original is this story?","9","20","16.33","5.19","3","C84"
"1243","How Clever is this story?","1","10","6.33","3.86","3","C84"
"1244","How Imaginative is this story?","10","19","13.33","4.03","3","C84"
"1245","How Captivating is this story?","1","19","9.67","7.36","3","C84"
"1246","How Humorous is this story?","0","4","1.67","1.7","3","C84"
"1247","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","50","17","23.34","3","C84"
"1248","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","50","17","23.34","3","C84"
"1249","How Creative is this story?","0","30","18","12.96","3","C85"
"1250","How Original is this story?","3","39","21.33","14.7","3","C85"
"1251","How Clever is this story?","0","39","20","15.94","3","C85"
"1252","How Imaginative is this story?","3","33","17.33","12.28","3","C85"
"1253","How Captivating is this story?","0","33","17.33","13.52","3","C85"
"1254","How Humorous is this story?","0","31","16.33","12.71","3","C85"
"1255","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","31","18.33","13.27","3","C85"
"1256","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","3","28","15.67","10.21","3","C85"
"1257","How Creative is this story?","1","28","10.33","12.5","3","C86"
"1258","How Original is this story?","1","28","10","12.73","3","C86"
"1259","How Clever is this story?","1","16","6","7.07","3","C86"
"1260","How Imaginative is this story?","1","6","2.67","2.36","3","C86"
"1261","How Captivating is this story?","1","30","14.33","11.95","3","C86"
"1262","How Humorous is this story?","0","1","0.67","0.47","3","C86"
"1263","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","50","19.67","21.64","3","C86"
"1264","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","50","19.33","21.82","3","C86"
"1265","How Creative is this story?","0","2","0.67","0.94","3","C88"
"1266","How Original is this story?","0","2","0.67","0.94","3","C88"
"1267","How Clever is this story?","0","2","0.67","0.94","3","C88"
"1268","How Imaginative is this story?","0","2","0.67","0.94","3","C88"
"1269","How Captivating is this story?","0","2","0.67","0.94","3","C88"
"1270","How Humorous is this story?","0","2","0.67","0.94","3","C88"
"1271","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","2","0.67","0.94","3","C88"
"1272","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","3","1","1.41","3","C88"
"1273","How Creative is this story?","1","7","3","2.83","3","C89"
"1274","How Original is this story?","1","10","5.33","3.68","3","C89"
"1275","How Clever is this story?","1","8","3.33","3.3","3","C89"
"1276","How Imaginative is this story?","1","6","2.67","2.36","3","C89"
"1277","How Captivating is this story?","1","9","3.67","3.77","3","C89"
"1278","How Humorous is this story?","1","8","3.33","3.3","3","C89"
"1279","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","11","7","4.32","3","C89"
"1280","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","9","4.67","3.3","3","C89"
